DEPENDENCIA;CODIGO ESTADISTICO;NOMBRE DEL PLANTEL;PROBLEMA
ESTADAL;OD03941408;ESCUELA MARIA FLORENRTINA JEREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD02471412;ESCUELA MARIANO PICON SALAS (ANTES EL RINCON);Solo dejaron observaciones o ceros.
ESTADAL;OD03021412;ESCUELA MIGUEL DE CERVANTES Y SAAVEDRA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13201412;ESCUELA MOCOTONE);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13101412;ESCUELA MUCUTARAY;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD17801412;ESCUELA PARA EL EMPRENDIMIENTO BICENTENARIO 16 DE SEPTIEMBRE DE 2010;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15551412;ESCUELA PARA EL EMPRENDIMIENTO DIURNO SANTA JUANA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15471412;ESCUELA PARA EL EMPRENDIMIENTO ERNESTINA QUIROZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON14191418;ESCUELA PARA EL EMPRENDIMIENTO HERENIA ACEDO DE VASQUEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON17791412;ESCUELA PARA EL EMPRENDIMIENTO HERMENEGILDO CONTRERAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON16271406;ESCUELA PARA EL EMPRENDIMIENTO LA MESA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON14181418;ESCUELA PARA EL EMPRENDIMIENTO LAS PLAYITAS;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD16391412;ESCUELA PARA EL EMPRENDIMIENTO MARIA AGUSTINA LACRUZ MORENO (ANTES COSTURERO POPULAR);Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15611412;ESCUELA PARA EL EMPRENDIMIENTO MARIA LUCILA SALINAS DE LEÓN (ANTES MODULO SANTA ELENA);Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15511412;ESCUELA PARA EL EMPRENDIMIENTO PADRE BILBAO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON14131418;ESCUELA PARA EL EMPRENDIMIENTO SARA BENAVIDES;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15601412;ESCUELA PARA EL EMPRENDIMIENTO UDON PEREZ (ANTES CAMPO DE ORO);Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON15501412;ESCUELA PARA EL EMPRENDIMIENTO UGO ANZIL (ANTES LA PARROQUIA);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03981406;ESCUELA PEDRO JUSTO ANDRADE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03691406;ESCUELA RAMON AMADOR FONSECA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD15971408;ESCUELA RAMON DIAZ SANCHEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD08341409;ESCUELA RITA ELENA MÁRQUEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12951412;ESCUELA SAN ANTONIO (VEGA DE SAN ANTONIO);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD11661406;ESCUELA SAN ONOFRE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD09411420;ESCUELA SAN PABLO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12901412;ESCUELA SANTA ROSA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13421413;ESCUELA SIMÓN RODRÍGUEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD03681412;ESCUELA TERESA MANRIQUE;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD05491402;ESCUELA VIANEY LISBETH VIELMA ALBARRAN;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13301412;ESCUELA VICENTE LECUNA (ANTES LA CAÑA);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10581403;ESCUELA VICTOR FERNANDEZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD13091412;ESCUELA VICTOR MANUEL PEÑA (ANTES MIQUIRURA);Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD10601403;HECTOR POLEO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD17751412;INSTITUTO DE EDUCACIÓN ESPECIAL TALLER DE EDUCACION LABORAL DOMINGO PEÑA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD17631419;JOSE DE LOS SANTOS MARQUINA;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12251410;JOSE ELPIDIO SALCEDO;Ningún trabajador tiene datos de cuadratura.
ESTADAL;ON16571414;JOSE LUIS GUTIERREZ;Ningún trabajador tiene datos de cuadratura.
ESTADAL;OD12241410;JOSE MIGUEL FERNANDEZ RIVAS;Ningún trabajador tiene datos de cuadratura.
